,GLA,REIT,city,free_GLA,last_renovation,ownership,pct_lease,property_name,renovation_year,rent_per_sq,state,tenants,year_acquired,year_built,year_built_or_acquired,zipcode
0,105000.0,FRIT,San Francisco,,,,81.0,150 Post Street,,44.41,CA,"['Shreve & Co.', nan]",1997.0,1965.0,,94108
1,69000.0,FRIT,Pasadena,,,,100.0,Colorado Blvd,,44.18,CA,"['Pottery Barn', 'Banana Republic']",1996.0,1988.0,,91103
2,241000.0,FRIT,San Ramon,,,,91.0,Crow Canyon Commons,,27.37,CA,"['Sprouts', 'Rite Aid', 'Orchard Supply Hardware']",2005.0,2006.0,,94583
3,439000.0,FRIT,Emeryville & Oakland,,,,100.0,East Bay Bridge,,18.17,CA,"['Home Depot', 'Michaels', 'Pak-N-Save', 'Target', 'Nordstrom Rack', 'Ashley Furniture', 'Ulta']",2012.0,2012.0,,94608
4,298000.0,FRIT,Escondido,,,,98.0,Escondido Promenade,,24.59,CA,"['TJ Maxx', 'Toys R Us', ""Dick's Sporting Goods"", 'Ross Dress For Less']",1996.0,1987.0,,92029
5,23000.0,FRIT,Hermosa Beach,,,,100.0,Hermosa Avenue,,42.27,CA,"[nan, nan]",1997.0,1922.0,,90254
6,180000.0,FRIT,Hollywood,,,,91.0,Hollywood Blvd,,33.98,CA,"['Marshalls', 'La La Land', 'DSW', 'L.A. Fitness']",1999.0,1991.0,,90028
7,79000.0,FRIT,Los Gatos,,,,100.0,Kings Court,,32.03,CA,"[""Lunardi's Supermarket"", 'CVS']",1998.0,1960.0,,95032
8,98000.0,FRIT,Los Gatos,,,,99.0,Old Town Center,,41.51,CA,"['Gap', 'Banana Republic', 'Anthropologie']",1997.0,1998.0,,95030
9,494000.0,FRIT,El Segundo,,,,96.0,Plaza El Segundo / The Point,,43.26,CA,"['H&M', 'Anthropologie', 'Best Buy', 'HomeGoods', 'Whole Foods', ""Dick's Sporting Goods"", 'Container Store']",2011.0,2016.0,,90245
10,376000.0,FRIT,Mountain View,,,,95.0,San Antonio Center,,13.36,CA,"[""Kohl's"", 'Walmart', ""Trader Joe's"", '24 Hour Fitness', 'Jo-Ann Stores']",2015.0,1997.0,,94040
11,888000.0,FRIT,San Jose,,,,99.0,Santana Row,,49.81,CA,"['H&M', 'Crate & Barrel', 'Container Store', 'Best Buy', 'CineArts Theatre', 'Hotel Valencia', 'Splunk, Inc.']",1997.0,2016.0,,95128
12,209000.0,FRIT,Santa Monica,,,,94.0,Third Street Promenade,,76.01,CA,"['Abercrombie & Fitch', 'J. Crew', 'Old Navy', 'Banana Republic']",2000.0,2000.0,,90401
13,638000.0,FRIT,San Jose,,,,96.0,Westgate Center,,17.96,CA,"['Nike Factory', 'Target', 'Walmart Neighborhood Market', 'Burlington Coat Factory', 'Ross Dress For Less', 'Michaels', 'Nordstrom Rack', 'J. Crew', 'Gap Factory Store']",2004.0,1966.0,,95129
14,266000.0,FRIT,Bristol,,,,94.0,Bristol Plaza,,13.36,CT,"['Stop & Shop', 'TJ Maxx']",1995.0,1959.0,,06010
15,95000.0,FRIT,Darien,,,,97.0,Darien,,28.42,CT,"['Stop & Shop', 'Equinox']",2013.0,2009.0,,06820
16,36000.0,FRIT,Greenwich Avenue,,,,100.0,Greenwich Avenue,,70.15,CT,"['Saks Fifth Avenue', nan]",1995.0,1968.0,,06830
17,119000.0,FRIT,Washington,,,,100.0,Friendship Center,,29.01,DC,"['Marshalls', 'DSW', ""Maggiano's"", 'Nordstrom Rack']",2001.0,1998.0,,20015
18,49000.0,FRIT,Washington,,,,86.0,Sam's Park & Shop,,45.16,DC,"['Petco', nan]",1995.0,1930.0,,20008
19,222000.0,FRIT,Coconut Grove,,,,78.0,CocoWalk,,36.24,FL,"['Cinepolis Theaters', 'Gap', 'Youfit Health Club']",2016.0,1973.0,,33133
20,196000.0,FRIT,Boca Raton,,,,91.0,Del Mar Village,,16.11,FL,"['Winn Dixie', 'CVS']",2014.0,2007.0,,33433
21,523000.0,FRIT,South Miami,,,,84.0,The Shops at Sunset Place,,21.43,FL,"['AMC Theaters', 'L.A. Fitness', 'Barnes & Noble', 'GameTime', 'Restoration Hardware Outlet']",2015.0,1999.0,,33143
22,414000.0,FRIT,Davie,,,,99.0,Tower Shops,,21.8,FL,"['Ulta', 'Best Buy', 'DSW', 'Old Navy', 'Ross Dress for Less', 'TJ Maxx', ""Trader Joe's""]",2014.0,1989.0,,33324
